[2025-11-29 08:35:34] debug: 	z2m: Received Zigbee message from '500', type 'readResponse', cluster 'haElectricalMeasurement', data '{"activePower":0,"rmsCurrent":0,"rmsVoltage":234}' from endpoint 1 with groupID 0
[2025-11-29 08:35:34] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt_area2/500', payload '{"current":0,"energy":0,"indicator_mode":"on_off","last_seen":"2025-11-29T07:35:34.882Z","linkquality":132,"power":0,"power_outage_memory":"restore","state":"ON","update":{"installed_version":-1,"latest_version":-1,"state":null},"voltage":234}'
[2025-11-29 08:35:35] debug: 	zh:controller:endpoint: ZCL command 0xbc8d7efffe133110/1 haElectricalMeasurement.read(["rmsVoltage","rmsCurrent","activePower"], {"timeout":10000,"disableResponse":false,"disableRecovery":false,"disableDefaultResponse":true,"direction":0,"reservedBits":0,"writeUndiv":false})
[2025-11-29 08:35:35] debug: 	zh:ember: ~~~> [ZCL to=0xbc8d7efffe133110:36344 apsFrame={"profileId":260,"clusterId":2820,"sourceEndpoint":1,"destinationEndpoint":1,"options":4416,"groupId":0,"sequence":0} header={"frameControl":{"reservedBits":0,"frameType":0,"direction":0,"disableDefaultResponse":true,"manufacturerSpecific":false},"transactionSequenceNumber":83,"commandIdentifier":0}]
[2025-11-29 08:35:35] debug: 	zh:ember:ezsp: ===> [FRAME: ID=52:"SEND_UNICAST" Seq=245 Len=31]
[2025-11-29 08:35:35] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=5 frmRx=2](ackRx=5)
[2025-11-29 08:35:35] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2025-11-29 08:35:35] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=6](ackRx=5 frmTx=6)
[2025-11-29 08:35:35] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=6 frmNum=2](frmRx=2) Added to rxQueue
[2025-11-29 08:35:35] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=3](ackRx=6)
[2025-11-29 08:35:35] debug: 	zh:ember:ezsp: <=== [FRAME: ID=52:"SEND_UNICAST" Seq=245 Len=10]
[2025-11-29 08:35:35] debug: 	zh:ember:ezsp: ~~~> [SENT type=DIRECT apsSequence=188 messageTag=84 status=OK]
[2025-11-29 08:35:35] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2025-11-29 08:35:35] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=6](ackRx=6 frmTx=6)
[2025-11-29 08:35:35] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=6 frmNum=3](frmRx=3) Added to rxQueue
[2025-11-29 08:35:35] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=4](ackRx=6)
[2025-11-29 08:35:35] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=89:"INCOMING_ROUTE_RECORD_HANDLER" Seq=245 Len=18]
[2025-11-29 08:35:35] debug: 	zh:ember:ezsp: ezspIncomingRouteRecordHandler: source=36344 sourceEui=0xbc8d7efffe133110 lastHopLqi=104 lastHopRssi=-85 relayCount=0 relayList=
[2025-11-29 08:35:35] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2025-11-29 08:35:35] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=6](ackRx=6 frmTx=6)
[2025-11-29 08:35:35] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=6 frmNum=4](frmRx=4) Added to rxQueue
[2025-11-29 08:35:35] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=5](ackRx=6)
[2025-11-29 08:35:35] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=63:"MESSAGE_SENT_HANDLER" Seq=245 Len=26]
[2025-11-29 08:35:35] debug: 	zh:ember:ezsp: ezspMessageSentHandler: status=OK type=DIRECT indexOrDestination=36344 apsFrame={"profileId":260,"clusterId":2820,"sourceEndpoint":1,"destinationEndpoint":1,"options":4416,"groupId":0,"sequence":188} messageTag=84
[2025-11-29 08:35:35] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2025-11-29 08:35:35] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=6](ackRx=6 frmTx=6)
[2025-11-29 08:35:35] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=6 frmNum=5](frmRx=5) Added to rxQueue
[2025-11-29 08:35:35] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=6](ackRx=6)
[2025-11-29 08:35:35] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=69:"INCOMING_MESSAGE_HANDLER" Seq=245 Len=58]
[2025-11-29 08:35:35] debug: 	zh:ember:ezsp: ezspIncomingMessageHandler: type=UNICAST apsFrame={"profileId":260,"clusterId":2820,"sourceEndpoint":1,"destinationEndpoint":1,"options":256,"groupId":0,"sequence":245} packetInfo:{"senderShortId":36344,"senderLongId":"0x0000000000000000","bindingIndex":255,"addressIndex":8,"lastHopLqi":108,"lastHopRssi":-84,"lastHopTimestamp":591511482} messageContents=18530105050021ec000805002100000b0500290000
[2025-11-29 08:35:35] debug: 	zh:controller: Received payload: clusterID=2820, address=36344, groupID=0, endpoint=1, destinationEndpoint=1, wasBroadcast=false, linkQuality=108, frame={"header":{"frameControl":{"frameType":0,"manufacturerSpecific":false,"direction":1,"disableDefaultResponse":true,"reservedBits":0},"transactionSequenceNumber":83,"commandIdentifier":1},"payload":[{"attrId":1285,"status":0,"dataType":33,"attrData":236},{"attrId":1288,"status":0,"dataType":33,"attrData":0},{"attrId":1291,"status":0,"dataType":41,"attrData":0}],"command":{"ID":1,"name":"readRsp","parameters":[{"name":"attrId","type":33},{"name":"status","type":32},{"name":"dataType","type":32,"conditions":[{"type":"fieldEquals","field":"status","value":0}]},{"name":"attrData","type":1000,"conditions":[{"type":"fieldEquals","field":"status","value":0}]}]}}
[2025-11-29 08:35:35] debug: 	z2m: Received Zigbee message from '507', type 'readResponse', cluster 'haElectricalMeasurement', data '{"activePower":0,"rmsCurrent":0,"rmsVoltage":236}' from endpoint 1 with groupID 0
[2025-11-29 08:35:35] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt_area2/507', payload '{"current":0,"energy":0,"indicator_mode":"on_off","last_seen":"2025-11-29T07:35:35.375Z","linkquality":108,"power":0,"power_outage_memory":"restore","state":"ON","update":{"installed_version":-1,"latest_version":-1,"state":null},"voltage":236}'
[2025-11-29 08:35:36] debug: 	zh:controller:endpoint: ZCL command 0x403059fffeda40d5/1 haElectricalMeasurement.read(["rmsVoltage","rmsCurrent","activePower"], {"timeout":10000,"disableResponse":false,"disableRecovery":false,"disableDefaultResponse":true,"direction":0,"reservedBits":0,"writeUndiv":false})
[2025-11-29 08:35:36] debug: 	zh:ember: ~~~> [ZCL to=0x403059fffeda40d5:2344 apsFrame={"profileId":260,"clusterId":2820,"sourceEndpoint":1,"destinationEndpoint":1,"options":4416,"groupId":0,"sequence":0} header={"frameControl":{"reservedBits":0,"frameType":0,"direction":0,"disableDefaultResponse":true,"manufacturerSpecific":false},"transactionSequenceNumber":84,"commandIdentifier":0}]
[2025-11-29 08:35:36] debug: 	zh:ember:ezsp: ===> [FRAME: ID=52:"SEND_UNICAST" Seq=246 Len=31]
[2025-11-29 08:35:36] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=6 frmRx=6](ackRx=6)
